event_id,name,epoch,pred_sigma_min,T0,P,duration_hours,mag_V,mag_R,depth_mmag,current_oc_min,min_telescope_inches,ra,dec,n_obs_recent,exoclock_priority,recent_activity_flag,events_per_month,network_needed,campaign_flag,ttv_flag,snr_proxy,time_since_last_obs_days,last_obs_jd,Tmid_utc,obs_frac,obs_max_alt,obs_min_alt,obs_mean_airmass,obs_visible,obs_peak_time_jd,ttv_amplitude_min,ttv_signal_strength,ttv_significance_class,instrument_difficulty,instrument_difficulty_norm,aperture_exoclock,required_aperture,aperture_ratio,instrument_flag,instrument_feasible,aperture_consistency,instrument_penalty,science_priority_numeric,science_recency_score,campaign_intensity,campaign_intensity_norm,S1,S2,S3,S4,S5,S6,base_score,final_score,priority_group,obs_frac_pct,final_score_pct,obs_interpretation,ephemeris_interpretation,score_interpretation,science_interpretation,synergy_explanation,score_breakdown,summary_text,flag_labels
KOI-12b_310,KOI-12b,310,1.6592580819149663,2455729.51594,17.855227,7.47,11.51,11.071,10.37,-15.27,5.0,297.4537225,41.0110075,0,alert,False,1.6801802631800762,True,True,1,42.21,5510.211708763614,2455729.51594,2026-08-12 03:15:08.001,0.9833333333333333,65.8536916142946,21.83907485200254,1.5808086098781122,1,2461264.5521759377,15.27,0.7635,moderate,4,0.6666666666666666,5.0,6.237074801490048,0.259878116728752,OK,True,1.2474149602980096,1.0,5,1.0,4.504054078954023,0.5298887151710615,3,5,4,5,5.0,4,4.25,4.25,0,0.9693507191826859,1.0,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This is an ExoClock alert target.; There have been no observations in the last years.,"for this target, multi-site coordination is recommended.; This target has been part of an active campaign.","{'priority': 'This is a top priority target.', 'score': 4.25, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This is an ExoClock alert target.; There have been no observations in the last years.', 'coordination': 'for this target, multi-site coordination is recommended.; This target has been part of an active campaign.', 'network': True, 'campaign': True}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal moderate. This is an ExoClock alert target.; There have been no observations in the last years.. part of an active campaign. requires multi-site coordination.,"📡 Campaign, 🌍 Network"
WASP-7b_351,WASP-7b,351,0.4990124899144313,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1735.2321899551898,2459504.49547,2026-07-22 01:50:18.989,0.675,22.572856007228896,16.76522855576801,2.852674622229131,1,2461243.577997558,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,3.816475652142006,0.4489971355461183,5,2,5,3,4.5,3,3.8249999999999993,3.8249999999999993,0,0.9352063449388358,0.999798359994623,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a high ExoClock priority.; 1 observations recroded in the last year.,"for this target, multi-site coordination is recommended.","{'priority': 'This is a top priority target.', 'score': 3.8249999999999993, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a high ExoClock priority.; 1 observations recroded in the last year.', 'coordination': 'for this target, multi-site coordination is recommended.', 'network': True, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal weak. This target has a high ExoClock priority.; 1 observations recroded in the last year.. requires multi-site coordination.,🌍 Network
WASP-7b_352,WASP-7b,352,0.5001681133161855,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1735.2321899589151,2459504.49547,2026-07-27 00:45:00.697,0.6333333333333333,22.572816122295,11.98720366302002,3.0413679652116032,1,2461248.5645914003,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,3.816475652142006,0.4489971355461183,5,2,5,3,4.5,3,3.8249999999999993,3.8249999999999993,0,0.9294259981180266,0.999798359994623,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a high ExoClock priority.; 1 observations recroded in the last year.,"for this target, multi-site coordination is recommended.","{'priority': 'This is a top priority target.', 'score': 3.8249999999999993, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a high ExoClock priority.; 1 observations recroded in the last year.', 'coordination': 'for this target, multi-site coordination is recommended.', 'network': True, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal weak. This target has a high ExoClock priority.; 1 observations recroded in the last year.. requires multi-site coordination.,🌍 Network
WASP-7b_353,WASP-7b,353,0.5013243491623608,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1735.2321899626404,2459504.49547,2026-07-31 23:39:42.405,0.44166666666666665,22.572581171451972,6.129993061482766,3.784464015201069,1,2461253.551185243,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,5.316475652142006,0.6254677237814125,5,2,5,2,4.5,4,3.7749999999999995,3.7749999999999995,0,0.8991127839763409,0.9995295066541202,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a high ExoClock priority.; 1 observations recroded in the last year.,"for this target, multi-site coordination is recommended.; This target has only partial visibility.","{'priority': 'This is a top priority target.', 'score': 3.7749999999999995, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a high ExoClock priority.; 1 observations recroded in the last year.', 'coordination': 'for this target, multi-site coordination is recommended.; This target has only partial visibility.', 'network': True, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal weak. This target has a high ExoClock priority.; 1 observations recroded in the last year.. requires multi-site coordination.,🌍 Network
WASP-7b_354,WASP-7b,354,0.5024811932251563,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1735.2321899659,2459504.49547,2026-08-05 22:34:24.113,0.25,22.390506568937223,-0.587922558019506,24.963474740940395,1,2461258.522501308,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,5.316475652142006,0.6254677237814125,5,2,5,2,4.5,4,3.7749999999999995,3.7749999999999995,0,0.8669848097862616,0.9995295066541202,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a high ExoClock priority.; 1 observations recroded in the last year.,"for this target, multi-site coordination is recommended.; This target has only partial visibility.","{'priority': 'This is a top priority target.', 'score': 3.7749999999999995, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a high ExoClock priority.; 1 observations recroded in the last year.', 'coordination': 'for this target, multi-site coordination is recommended.; This target has only partial visibility.', 'network': True, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal weak. This target has a high ExoClock priority.; 1 observations recroded in the last year.. requires multi-site coordination.,🌍 Network
K2-139b_138,K2-139b,138,59.617565196842065,2457325.8171,28.3824,4.89,11.65,11.211,12.33,59.86,5.0,289.0665379166667,-17.910669444444444,2,alert,True,1.0569930661254863,True,True,1,40.54,3913.9105466646142,2457325.8171,2026-07-21 02:05:59.936,1.0,43.83682171508662,20.324802255622362,1.7794804312676433,1,2461242.519443704,59.86,1.0,strong,4,0.6666666666666666,5.0,7.540404845546118,0.3141835352310883,OK,True,1.5080809691092236,1.0,5,0.3333333333333333,4.3170979198376465,0.5078938729220761,1,5,4,5,5.0,4,3.75,3.75,0,0.9852802796074741,0.9992606533136175,There is excellent visibility.,This target has high ephemeris uncertainty.,This is a top priority target.,This is an ExoClock alert target.; 2 observations recroded in the last year.,"for this target, multi-site coordination is recommended.; This target has been part of an active campaign.","{'priority': 'This is a top priority target.', 'score': 3.75, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This target has high ephemeris uncertainty.', 'science': 'This is an ExoClock alert target.; 2 observations recroded in the last year.', 'coordination': 'for this target, multi-site coordination is recommended.; This target has been part of an active campaign.', 'network': True, 'campaign': True}",This is a top priority target.. This target has high ephemeris uncertainty.. There is excellent visibility.. TTV signal strong. This is an ExoClock alert target.; 2 observations recroded in the last year.. part of an active campaign. requires multi-site coordination.,"📡 Campaign, 🌍 Network"
KOI-12b_309,KOI-12b,309,1.653954493903643,2455729.51594,17.855227,7.47,11.51,11.071,10.37,-15.27,5.0,297.4537225,41.0110075,0,alert,False,1.6801802631800762,True,True,1,42.21,5510.211708759889,2455729.51594,2026-07-25 06:43:36.388,0.05,40.32288556600793,-0.756230338686309,11.798855121176604,1,2461246.6969489353,15.27,0.7635,moderate,4,0.6666666666666666,5.0,6.237074801490048,0.259878116728752,OK,True,1.2474149602980096,1.0,5,1.0,6.004054078954023,0.7063593034063557,3,5,4,1,5.0,5,3.75,3.75,0,0.8306896088183896,0.9992606533136175,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This is an ExoClock alert target.; There have been no observations in the last years.,"for this target, multi-site coordination is recommended.; This target has been part of an active campaign.; This target has only partial visibility.","{'priority': 'This is a top priority target.', 'score': 3.75, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This is an ExoClock alert target.; There have been no observations in the last years.', 'coordination': 'for this target, multi-site coordination is recommended.; This target has been part of an active campaign.; This target has only partial visibility.', 'network': True, 'campaign': True}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal moderate. This is an ExoClock alert target.; There have been no observations in the last years.. part of an active campaign. requires multi-site coordination.,"📡 Campaign, 🌍 Network"
WASP-94Ab_634,WASP-94Ab,634,0.42892102221718104,2458739.12004,3.95020155,4.57,10.05,10.17,15.76,-2.54,5.0,313.78310208333335,-34.1355575,0,high,False,7.594549194584768,True,False,0,103.34,2500.607623252552,2458739.12004,2026-07-22 01:07:42.698,0.825,27.667920105807642,15.017850541233749,2.5039372254654277,1,2461243.5859108563,2.54,0.127,none,4,0.6666666666666666,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,1.0,4.27836475837543,0.5033370303971094,5,1,4,4,5.0,3,3.7,3.7,0,0.9515391853743783,0.9990590133082403,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a high ExoClock priority.; There have been no observations in the last years.,"for this target, multi-site coordination is recommended.","{'priority': 'This is a top priority target.', 'score': 3.7, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a high ExoClock priority.; There have been no observations in the last years.', 'coordination': 'for this target, multi-site coordination is recommended.', 'network': True, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. This target has a high ExoClock priority.; There have been no observations in the last years.. requires multi-site coordination.,🌍 Network
HAT-P-2b_386,HAT-P-2b,386,0.27221190209863916,2459068.906048,5.63346772,4.31,8.69,8.417,6.62,-5.87,5.0,245.15149124999996,41.04808583333333,1,high,True,5.3253167482425905,True,False,0,81.55,2170.8215926955454,2459068.906048,2026-07-21 22:10:15.213,0.65,77.3118949816564,55.13007871770447,1.071272088374159,1,2461243.394620521,5.87,0.2935,weak,4,0.6666666666666666,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,3.597595024472777,0.42324647346738553,5,2,4,3,4.5,3,3.675,3.675,0,0.9318456781825514,0.998924586637989,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a high ExoClock priority.; 1 observations recroded in the last year.,"for this target, multi-site coordination is recommended.","{'priority': 'This is a top priority target.', 'score': 3.675, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a high ExoClock priority.; 1 observations recroded in the last year.', 'coordination': 'for this target, multi-site coordination is recommended.', 'network': True, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal weak. This target has a high ExoClock priority.; 1 observations recroded in the last year.. requires multi-site coordination.,🌍 Network
WASP-69b_599,WASP-69b,599,0.42178112870898177,2458924.57637,3.8681384,2.24,9.87,9.22,20.55,-0.52,5.0,315.0258204166667,-5.094454722222222,4,medium,True,7.755668721677591,False,False,0,142.5,2315.151292293798,2458924.57637,2026-07-20 02:10:16.683,1.0,56.71062891398724,44.95451908370667,1.2592741107432261,1,2461241.5946375346,0.52,0.026000000000000002,none,6,1.0,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,3,0.2,2.3267006165032775,0.2737294842945032,5,1,5,5,3.2,2,3.6300000000000003,3.6300000000000003,0,0.9852802796074741,0.9987901599677376,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a medium ExoClock priority.; 4 observations in the last year (moderately monitored).,There is no special coordination required.,"{'priority': 'This is a top priority target.', 'score': 3.6300000000000003, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a medium ExoClock priority.; 4 observations in the last year (moderately monitored).', 'coordination': 'There is no special coordination required.', 'network': False, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. This target has a medium ExoClock priority.; 4 observations in the last year (moderately monitored)..,—
