event_id,name,epoch,pred_sigma_min,T0,P,duration_hours,mag_V,mag_R,depth_mmag,current_oc_min,min_telescope_inches,ra,dec,n_obs_recent,exoclock_priority,recent_activity_flag,events_per_month,network_needed,campaign_flag,ttv_flag,snr_proxy,time_since_last_obs_days,last_obs_jd,Tmid_utc,obs_frac,obs_max_alt,obs_min_alt,obs_mean_airmass,obs_visible,obs_peak_time_jd,ttv_amplitude_min,ttv_signal_strength,ttv_significance_class,instrument_difficulty,instrument_difficulty_norm,aperture_exoclock,required_aperture,aperture_ratio,instrument_flag,instrument_feasible,aperture_consistency,instrument_penalty,science_priority_numeric,science_recency_score,campaign_intensity,campaign_intensity_norm,S1,S2,S3,S4,S5,S6,base_score,final_score,priority_group,obs_frac_pct,final_score_pct,obs_interpretation,ephemeris_interpretation,score_interpretation,science_interpretation,synergy_explanation,score_breakdown,summary_text,flag_labels
TOI-1670c_45,TOI-1670c,45,3.395378317655053,2459402.88385,40.750116,5.41,9.89,9.627,6.48,-32.3,5.77,259.01733666666667,72.16115916666668,4,alert,True,0.7361942233489593,True,True,1,52.37,1826.8610397800803,2459402.88385,2026-07-15 03:19:06.464,0.875,41.77325262279382,24.74674061694916,1.8469882302403253,1,2461236.554935926,32.3,1.0,strong,4,0.6666666666666666,5.77,4.396878817752845,0.1832032840730352,OK,True,0.7620240585360217,1.0,5,0.2,4.220858267004688,0.496571560824081,2,5,4,4,5.0,4,3.85,3.85,0,0.9592811953156548,1.0,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This is an ExoClock alert target.; 4 observations in the last year (moderately monitored).,"for this target, multi-site coordination is recommended.; This target has been part of an active campaign.","{'priority': 'This is a top priority target.', 'score': 3.85, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This is an ExoClock alert target.; 4 observations in the last year (moderately monitored).', 'coordination': 'for this target, multi-site coordination is recommended.; This target has been part of an active campaign.', 'network': True, 'campaign': True}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal strong. This is an ExoClock alert target.; 4 observations in the last year (moderately monitored).. part of an active campaign. requires multi-site coordination.,"📡 Campaign, 🌍 Network"
WASP-94Ab_633,WASP-94Ab,633,0.4283543679629607,2458739.12004,3.95020155,4.57,10.05,10.17,15.76,-2.54,5.0,313.78310208333335,-34.1355575,0,high,False,7.594549194584768,True,False,0,103.34,2490.6248571672477,2458739.12004,2026-07-18 02:19:25.284,1.0,27.667975416900152,21.499526043651237,2.3300220747565334,1,2461239.596820417,2.54,0.127,none,4,0.6666666666666666,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,1.0,4.27836475837543,0.5033370303971094,5,1,4,5,5.0,3,3.8499999999999996,3.8499999999999996,0,0.9865392381208776,0.9998653923812088,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a high ExoClock priority.; There have been no observations in the last years.,"for this target, multi-site coordination is recommended.","{'priority': 'This is a top priority target.', 'score': 3.8499999999999996, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a high ExoClock priority.; There have been no observations in the last years.', 'coordination': 'for this target, multi-site coordination is recommended.', 'network': True, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. This target has a high ExoClock priority.; There have been no observations in the last years.. requires multi-site coordination.,🌍 Network
WASP-7b_350,WASP-7b,350,0.4978574832219037,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1725.2494239360094,2459504.49547,2026-07-17 02:55:37.280,0.6583333333333333,22.57284930808055,12.74043521946695,2.991384902794165,1,2461238.5914037037,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,3.816475652142006,0.4489971355461183,5,2,5,3,4.5,3,3.8249999999999993,3.8249999999999993,0,0.9328307982231794,0.9995961771436264,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a high ExoClock priority.; 1 observations recroded in the last year.,"for this target, multi-site coordination is recommended.","{'priority': 'This is a top priority target.', 'score': 3.8249999999999993, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a high ExoClock priority.; 1 observations recroded in the last year.', 'coordination': 'for this target, multi-site coordination is recommended.', 'network': True, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal weak. This target has a high ExoClock priority.; 1 observations recroded in the last year.. requires multi-site coordination.,🌍 Network
WASP-7b_351,WASP-7b,351,0.4990124899144313,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1725.2494239397347,2459504.49547,2026-07-22 01:50:18.989,0.675,22.57285629839986,16.765233963586144,2.8526745595858047,1,2461243.577997558,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,3.816475652142006,0.4489971355461183,5,2,5,3,4.5,3,3.8249999999999993,3.8249999999999993,0,0.9349172163144434,0.9995961771436264,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a high ExoClock priority.; 1 observations recroded in the last year.,"for this target, multi-site coordination is recommended.","{'priority': 'This is a top priority target.', 'score': 3.8249999999999993, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a high ExoClock priority.; 1 observations recroded in the last year.', 'coordination': 'for this target, multi-site coordination is recommended.', 'network': True, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal weak. This target has a high ExoClock priority.; 1 observations recroded in the last year.. requires multi-site coordination.,🌍 Network
WASP-7b_352,WASP-7b,352,0.5001681133161855,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1725.2494239429943,2459504.49547,2026-07-27 00:45:00.697,0.6333333333333333,22.57281633103806,11.98721200260107,3.0413673497193363,1,2461248.5645914003,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,3.816475652142006,0.4489971355461183,5,2,5,3,4.5,3,3.8249999999999993,3.8249999999999993,0,0.9297348229909813,0.9995961771436264,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a high ExoClock priority.; 1 observations recroded in the last year.,"for this target, multi-site coordination is recommended.","{'priority': 'This is a top priority target.', 'score': 3.8249999999999993, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a high ExoClock priority.; 1 observations recroded in the last year.', 'coordination': 'for this target, multi-site coordination is recommended.', 'network': True, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal weak. This target has a high ExoClock priority.; 1 observations recroded in the last year.. requires multi-site coordination.,🌍 Network
WASP-7b_349,WASP-7b,349,0.4967030975406819,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1725.2494239322841,2459504.49547,2026-07-12 04:00:55.572,0.4666666666666667,22.57270515603589,7.023337997958722,3.6138294737221788,1,2461233.604809861,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,5.316475652142006,0.6254677237814125,5,2,5,2,4.5,4,3.7749999999999995,3.7749999999999995,0,0.9040920716112532,0.9991923542872526,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a high ExoClock priority.; 1 observations recroded in the last year.,"for this target, multi-site coordination is recommended.; This target has only partial visibility.","{'priority': 'This is a top priority target.', 'score': 3.7749999999999995, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a high ExoClock priority.; 1 observations recroded in the last year.', 'coordination': 'for this target, multi-site coordination is recommended.; This target has only partial visibility.', 'network': True, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal weak. This target has a high ExoClock priority.; 1 observations recroded in the last year.. requires multi-site coordination.,🌍 Network
WASP-7b_353,WASP-7b,353,0.5013243491623608,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1725.249423946254,2459504.49547,2026-07-31 23:39:42.405,0.44166666666666665,22.572581296257013,6.130006755146425,3.784461135527911,1,2461253.551185243,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,5.316475652142006,0.6254677237814125,5,2,5,2,4.5,4,3.7749999999999995,3.7749999999999995,0,0.900659577332077,0.9991923542872526,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a high ExoClock priority.; 1 observations recroded in the last year.,"for this target, multi-site coordination is recommended.; This target has only partial visibility.","{'priority': 'This is a top priority target.', 'score': 3.7749999999999995, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a high ExoClock priority.; 1 observations recroded in the last year.', 'coordination': 'for this target, multi-site coordination is recommended.; This target has only partial visibility.', 'network': True, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal weak. This target has a high ExoClock priority.; 1 observations recroded in the last year.. requires multi-site coordination.,🌍 Network
WASP-7b_354,WASP-7b,354,0.5024811932251563,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1725.2494239499792,2459504.49547,2026-08-05 22:34:24.113,0.25,22.390508966510396,-0.5879019732840413,24.952411423033244,1,2461258.522501308,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,5.316475652142006,0.6254677237814125,5,2,5,2,4.5,4,3.7749999999999995,3.7749999999999995,0,0.8717862431013595,0.9991923542872526,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This target has a high ExoClock priority.; 1 observations recroded in the last year.,"for this target, multi-site coordination is recommended.; This target has only partial visibility.","{'priority': 'This is a top priority target.', 'score': 3.7749999999999995, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This target has a high ExoClock priority.; 1 observations recroded in the last year.', 'coordination': 'for this target, multi-site coordination is recommended.; This target has only partial visibility.', 'network': True, 'campaign': False}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal weak. This target has a high ExoClock priority.; 1 observations recroded in the last year.. requires multi-site coordination.,🌍 Network
K2-139b_138,K2-139b,138,59.617565196842065,2457325.8171,28.3824,4.89,11.65,11.211,12.33,59.86,5.0,289.0665379166667,-17.910669444444444,2,alert,True,1.0569930661254863,True,True,1,40.54,3903.927780977916,2457325.8171,2026-07-21 02:05:59.936,1.0,43.836822055189174,20.324792299754698,1.7794807579097323,1,2461242.519443704,59.86,1.0,strong,4,0.6666666666666666,5.0,7.540404845546118,0.3141835352310883,OK,True,1.5080809691092236,1.0,5,0.3333333333333333,4.3170979198376465,0.5078938729220761,1,5,4,5,5.0,4,3.75,3.75,0,0.9865392381208776,0.9987212276214834,There is excellent visibility.,This target has high ephemeris uncertainty.,This is a top priority target.,This is an ExoClock alert target.; 2 observations recroded in the last year.,"for this target, multi-site coordination is recommended.; This target has been part of an active campaign.","{'priority': 'This is a top priority target.', 'score': 3.75, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This target has high ephemeris uncertainty.', 'science': 'This is an ExoClock alert target.; 2 observations recroded in the last year.', 'coordination': 'for this target, multi-site coordination is recommended.; This target has been part of an active campaign.', 'network': True, 'campaign': True}",This is a top priority target.. This target has high ephemeris uncertainty.. There is excellent visibility.. TTV signal strong. This is an ExoClock alert target.; 2 observations recroded in the last year.. part of an active campaign. requires multi-site coordination.,"📡 Campaign, 🌍 Network"
KOI-12b_309,KOI-12b,309,1.653954493903643,2455729.51594,17.855227,7.47,11.51,11.071,10.37,-15.27,5.0,297.4537225,41.0110075,0,alert,False,1.6801802631800762,True,True,1,42.21,5500.228943050373,2455729.51594,2026-07-25 06:43:36.388,0.05,40.322873578059706,-0.7562397397716939,11.799229369348256,1,2461246.6969489353,15.27,0.7635,moderate,4,0.6666666666666666,5.0,6.237074801490048,0.259878116728752,OK,True,1.2474149602980096,1.0,5,1.0,6.004054078954023,0.7063593034063557,3,5,4,1,5.0,5,3.75,3.75,0,0.8351056669807511,0.9987212276214834,There is excellent visibility.,This is a well constrained ephemeris.,This is a top priority target.,This is an ExoClock alert target.; There have been no observations in the last years.,"for this target, multi-site coordination is recommended.; This target has been part of an active campaign.; This target has only partial visibility.","{'priority': 'This is a top priority target.', 'score': 3.75, 'visibility': 'There is excellent visibility.', 'ephemeris': 'This is a well constrained ephemeris.', 'science': 'This is an ExoClock alert target.; There have been no observations in the last years.', 'coordination': 'for this target, multi-site coordination is recommended.; This target has been part of an active campaign.; This target has only partial visibility.', 'network': True, 'campaign': True}",This is a top priority target.. This is a well constrained ephemeris.. There is excellent visibility.. TTV signal moderate. This is an ExoClock alert target.; There have been no observations in the last years.. part of an active campaign. requires multi-site coordination.,"📡 Campaign, 🌍 Network"
