name,matched_alias,papers_last_12m,papers_last_36m,last_paper_date,latest_title,latest_bibcode,recent_activity_flag
HAT-P-37b,HAT P 37 b,3,3,2026-02-00,Refining The Ephemerides of 6 Hot Jupiters Through Citizen Science: Results from a Course-Based Undergraduate Research Experience,2026AAS...24720801H,True
HAT-P-38b,HAT P 38 b,0,0,,,,False
HAT-P-39b,HAT P 39 b,0,2,,,,False
HAT-P-40b,HAT P 40 b,0,0,,,,False
HAT-P-41b,HAT P 41 b,0,0,,,,False
HAT-P-42b,HAT P 42 b,0,2,,,,False
HAT-P-43b,HAT P 43 b,0,0,,,,False
HAT-P-44b,HAT-P-44b,1,2,2026-04-00,LRG-BEASTS: detection of sodium and evidence for water absorption in the hot Saturn HAT-P-44b,2026MNRAS.547ag384C,True
HAT-P-45b,HAT P 45 b,0,0,,,,False
HAT-P-46b,HAT P 46 b,0,0,,,,False
HAT-P-49b,HAT P 49 b,1,1,2026-03-00,"Aligned, Misaligned, and Polar Orbits of Hot Jupiters: Measuring Spin-orbit Angles via Doppler Tomography with HARPS-N",2026AJ....171..139B,True
HAT-P-50b,HAT P 50 b,0,2,,,,False
HAT-P-51b,HAT P 51 b,0,0,,,,False
HAT-P-52b,HAT P 52 b,0,0,,,,False
HAT-P-53b,HAT P 53 b,0,0,,,,False
HAT-P-54b,HAT P 54 b,1,4,2026-02-00,Refining The Ephemerides of 6 Hot Jupiters Through Citizen Science: Results from a Course-Based Undergraduate Research Experience,2026AAS...24720801H,True
HAT-P-55b,HAT P 55 b,0,0,,,,False
HAT-P-56b,HAT P 56 b,0,0,,,,False
HAT-P-57b,HAT P 57 b,2,3,2026-06-00,"Cross-correlation transmission spectroscopy of ultra-hot Jupiters WASP-189b, HAT-P-57b, KELT-17b, and KELT-21b with GIANO-B",2026arXiv260627221M,True
HAT-P-58b,HAT P 58 b,0,0,,,,False
HAT-P-59b,HAT P 59 b,0,0,,,,False
HAT-P-60b,HAT P 60 b,0,0,,,,False
HAT-P-61b,HAT P 61 b,0,0,,,,False
HAT-P-62b,HAT P 62 b,0,0,,,,False
HAT-P-64b,HAT P 64 b,0,0,,,,False
HAT-P-65b,HAT P 65 b,0,0,,,,False
HAT-P-66b,HAT P 66 b,0,0,,,,False
HAT-P-67b,HAT P 67 b,1,8,2025-10-00,Probing the extent of WASP-52 b's atmosphere: High-resolution observations and 3D modeling insights,2025A&A...702A.238N,True
HAT-P-68b,HAT P 68 b,0,0,,,,False
HAT-P-69b,HAT P 69 b,0,0,,,,False
HAT-P-70b,HAT-P-70b,3,5,2026-07-00,HAT-P-70b through the Eyes of MAROON-X: Constraining Elemental Abundances of Metals and Insights on Atmosphere Dynamics,2026AJ....172....9S,True
HATS-1b,HATS 1 b,0,0,,,,False
HATS-2b,HATS 2 b,0,0,,,,False
HATS-3b,HATS 3 b,0,0,,,,False
HATS-4b,HATS 4 b,0,0,,,,False
HATS-5b,HATS 5 b,0,0,,,,False
HATS-6b,HATS 6 b,0,1,,,,False
HATS-7b,HATS 7 b,0,0,,,,False
HATS-9b,HATS 9 b,0,0,,,,False
HATS-10b,HATS 10 b,0,0,,,,False
HATS-11b,HATS 11 b,0,0,,,,False
HATS-13b,HATS 13 b,0,0,,,,False
HATS-17b,HATS 17 b,0,0,,,,False
HATS-18b,HATS 18 b,1,2,2025-10-00,Exoplanetary radio emission predictions and detectability in the SKA era,2025arXiv251019776M,True
HATS-22b,HATS 22 b,0,0,,,,False
HATS-23b,HATS 23 b,0,0,,,,False
HATS-24b,HATS 24 b,0,0,,,,False
HATS-25b,HATS 25 b,0,0,,,,False
HATS-26b,HATS 26 b,0,0,,,,False
HATS-27b,HATS 27 b,0,0,,,,False
HATS-29b,HATS 29 b,0,0,,,,False
HATS-30b,HATS 30 b,0,0,,,,False
HATS-31b,HATS 31 b,0,0,,,,False
HATS-33b,HATS 33 b,0,0,,,,False
HATS-34b,HATS 34 b,0,0,,,,False
HATS-35b,HATS 35 b,0,0,,,,False
HATS-37Ab,HATS 37Ab,0,0,,,,False
HATS-38b,HATS 38 b,0,2,,,,False
HATS-39b,HATS 39 b,0,0,,,,False
HATS-40b,HATS 40 b,0,0,,,,False
HATS-41b,HATS 41 b,0,0,,,,False
HATS-42b,HATS 42 b,1,1,2026-02-00,Accelerating exoplanet climate modelling: A machine learning approach to complement 3D general circulation model grid simulations,2026A&A...706A.157P,True
HATS-43b,HATS 43 b,0,0,,,,False
HATS-45b,HATS 45 b,0,0,,,,False
HATS-46b,HATS 46 b,0,0,,,,False
HATS-47b,HATS 47 b,0,0,,,,False
HATS-48Ab,HATS 48Ab,0,0,,,,False
HATS-50b,HATS 50 b,0,0,,,,False
HATS-51b,HATS 51 b,0,0,,,,False
HATS-52b,HATS 52 b,0,0,,,,False
HATS-53b,HATS 53 b,0,0,,,,False
HATS-55b,HATS 55 b,0,0,,,,False
HATS-56b,HATS 56 b,0,0,,,,False
HATS-57b,HATS 57 b,0,0,,,,False
HATS-58Ab,HATS 58Ab,0,0,,,,False
HATS-60b,HATS 60 b,0,0,,,,False
HATS-61b,HATS 61 b,0,0,,,,False
HATS-62b,HATS 62 b,0,0,,,,False
HATS-64b,HATS 64 b,0,0,,,,False
HATS-65b,HATS 65 b,0,0,,,,False
HATS-67b,HATS 67 b,0,0,,,,False
HATS-68b,HATS 68 b,0,0,,,,False
HATS-70b,HATS 70 b,0,0,,,,False
HATS-72b,HATS 72 b,0,0,,,,False
HD1397b,HD1397 b,0,0,,,,False
HD2685b,HD2685 b,0,0,,,,False
HD3167b,HD3167b,2,2,2026-06-00,Coupled Orbital and Interior Structure Evolution of Lava Planets,2026ApJ..1003..190H,True
HD3167c,HD3167 c,0,0,,,,False
HD5278b,HD5278 b,0,0,,,,False
HD15906b,HD15906 b,0,0,,,,False
HD15906c,HD15906 c,0,0,,,,False
HD17156b,HD17156 b,0,0,,,,False
